dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.35651,0.35127,0.59099,3,2,3,2,3,0.45509,0.0703,0.066
0.76367,0.69117,0.18384,1,2,3,1,3,0.24897,0.001,0.9
0.4035,0.95449,0.47948,2,3,3,3,3,0.1159,0.3277,0.212
0.96243,0.67455,0.96387,2,3,2,3,3,0.057813,0.0131,0.331
0.54055,0.60239,0.54267,1,1,2,2,3,0.35621,0.9998,0.002
0.36909,0.76324,0.16961,1,3,1,2,1,0.13939,0.9998,0.243
0.40397,0.42546,0.96892,1,1,1,3,2,0.20373,0.9998,0.001
0.46495,0.86978,0.89844,3,2,2,3,3,0.21462,0.9998,0.026
0.73496,0.96787,0.54281,2,2,3,3,2,0.27005,0.0307,0.112
0.0093325,0.94052,0.64274,1,1,1,1,2,0.00070953,0.9998,0.308
0.72708,0.54788,0.78045,1,1,2,1,1,0.21833,0.0032,0.231
0.24108,0.88896,0.85721,2,1,1,1,2,0.48181,0.9998,0.029
0.34757,0.62286,0.63932,2,1,1,2,3,0.45867,0.9998,0.001
0.39305,0.42528,0.63333,1,3,2,2,3,0.312,0.5873,0.099
0.23224,0.31654,0.60743,1,3,3,3,1,0.055405,0.8282,0.057
0.44094,0.96934,0.12403,2,3,2,2,1,0.23538,0.1484,0.456
0.13378,0.7797,0.90945,3,1,3,3,1,0.30543,0.9998,0.001
0.15572,0.8733,0.62492,3,1,3,2,2,0.36928,0.3948,0.004
0.74241,0.88179,0.1565,3,1,3,2,3,0.22865,0.0032,0.091
0.58275,0.89845,0.034866,2,3,3,3,2,0.44271,0.0208,0.499
0.60596,0.47814,0.32415,2,1,3,1,1,0.2009,0.0021,0.324
0.094629,0.52623,0.7696,2,2,2,1,1,0.11706,0.0934,0.393
0.30937,0.66612,0.3253,3,3,3,3,1,0.41592,0.3057,0.1
0.45643,0.5692,0.5386,3,2,1,3,1,0.49585,0.9998,0.013
0.75688,0.72139,0.85717,3,3,1,2,1,0.49414,0.9998,0.097
0.21928,0.52806,0.095949,3,2,1,2,1,0.37377,0.9998,0.078
0.95754,0.92498,0.3565,3,2,2,3,2,0.2732,0.0032,0.193
0.82239,0.31761,0.41443,2,2,3,3,1,0.3657,0.0076,0.059
0.1296,0.45755,0.35001,3,2,3,3,1,0.14354,0.8381,0.025
0.16756,0.65154,0.99933,3,1,2,1,3,0.1777,0.1242,0.078
0.93612,0.77823,0.96211,1,1,2,2,1,0.21899,0.0043,0.017
0.93247,0.83428,0.82645,3,1,2,3,1,0.28673,0.0681,0.001
0.82991,0.50332,0.40255,3,1,1,1,2,0.43103,0.0241,0.111
0.24895,0.63305,0.39908,2,3,1,3,3,0.29972,0.9998,0.076
0.43007,0.70057,0.70082,3,1,3,3,2,0.37123,0.3904,0.001
0.84972,0.49344,0.62232,3,2,2,3,2,0.29418,0.232,0.025
0.90467,0.91907,0.43899,3,1,2,2,1,0.39086,0.0043,0.033
0.1962,0.5127,0.48329,1,2,1,2,3,0.16891,0.9998,0.062
0.37547,0.98159,0.97231,3,3,1,1,3,0.32185,0.9998,0.366
0.93359,0.80424,0.48404,3,2,2,3,2,0.31952,0.0109,0.127
0.65886,0.93094,0.99538,3,1,2,3,2,0.32658,0.9998,0.001
0.74611,0.76376,0.52331,1,1,2,2,3,0.12995,0.0791,0.015
0.059031,0.92303,0.3302,3,2,1,3,2,0.11485,0.9998,0.061
0.27543,0.49727,0.88007,1,1,1,2,1,0.22217,0.9998,0.001
0.8486,0.33545,0.4662,3,2,3,1,3,0.16283,0.001,0.793
0.44843,0.3248,0.51381,2,1,2,2,2,0.20387,0.9998,0.001
0.70085,0.91056,0.052192,1,2,2,2,3,0.10984,0.0219,0.583
0.059095,0.81863,0.50679,2,3,3,2,2,0.099963,0.2221,0.38
0.017173,0.88034,0.62659,2,1,3,2,3,0.26937,0.6115,0.004
0.2943,0.42594,0.92629,2,3,1,3,1,0.03409,0.9998,0.075
0.81686,0.67025,0.69435,2,2,2,3,1,0.1062,0.4267,0.038
0.05734,0.74062,0.79618,2,3,3,2,1,0.3456,0.2408,0.192
0.20703,0.84252,0.91419,2,3,2,3,1,0.39128,0.9998,0.061
0.22781,0.52472,0.82956,1,1,3,3,1,0.41109,0.6038,0.001
0.44159,0.61235,0.46566,2,2,1,3,3,0.13952,0.9998,0.03
0.68964,0.39228,0.1235,3,3,3,3,1,0.095451,0.0153,0.332
0.92586,0.64485,0.65488,1,2,1,3,3,0.44506,0.9998,0.016
0.97301,0.55552,0.30915,2,1,3,1,1,0.060456,0.001,0.402
0.61529,0.70819,0.69825,3,1,1,3,2,0.014666,0.9998,0.001
0.24607,0.70704,0.93768,2,1,3,2,3,0.023894,0.2925,0.009
0.79625,0.7325,0.070214,1,1,3,2,1,0.034639,0.0021,0.179
0.10482,0.90085,0.6982,1,3,1,1,1,0.36687,0.9998,0.298
0.14782,0.31384,0.96429,2,2,1,2,1,0.48519,0.9998,0.015
0.55812,0.59945,0.26719,1,2,2,1,3,0.37687,0.0098,0.672
0.53316,0.96833,0.26775,3,3,2,3,1,0.12504,0.9998,0.163
0.63588,0.85886,0.5017,3,1,1,2,1,0.32541,0.9998,0.004
0.83784,0.94455,0.49823,3,1,2,1,2,0.13881,0.0021,0.343
0.11118,0.50815,0.39642,2,3,2,3,1,0.21038,0.9998,0.062
0.3065,0.37389,0.59383,1,3,1,2,1,0.14136,0.9998,0.089
0.042253,0.93331,0.13097,1,1,1,2,3,0.41686,0.9998,0.013
0.17357,0.70263,0.60622,3,3,1,2,2,0.10722,0.9998,0.201
0.034777,0.50498,0.80144,2,3,2,3,2,0.17325,0.9998,0.056
0.80452,0.87184,0.18947,1,2,2,3,2,0.061847,0.078,0.199
0.54452,0.72451,0.76044,3,2,1,3,2,0.42767,0.9998,0.016
0.37172,0.87975,0.17652,2,1,3,1,3,0.06476,0.0087,0.458
0.37984,0.98576,0.39899,3,1,3,3,2,0.22009,0.7072,0.001
0.31068,0.58621,0.70801,1,1,1,3,1,0.071819,0.9998,0.001
0.70004,0.45016,0.6799,3,1,2,1,3,0.27865,0.0043,0.181
0.48899,0.47917,0.92917,3,2,3,2,2,0.23338,0.0428,0.122
0.85625,0.70894,0.37358,1,2,3,2,1,0.11085,0.0021,0.438
0.84733,0.77592,0.13665,1,2,2,3,1,0.4292,0.0197,0.168
0.77149,0.83535,0.42107,1,2,2,1,1,0.028407,0.0098,0.882
0.91706,0.83074,0.88703,2,1,3,2,1,0.034399,0.001,0.022
0.4255,0.72787,0.85577,1,3,3,3,2,0.3354,0.474,0.08
0.88786,0.89006,0.8988,2,1,3,2,2,0.4695,0.001,0.019
0.022799,0.59686,0.34106,3,1,1,1,1,0.27068,0.9998,0.035
0.13812,0.65546,0.85666,3,1,2,3,2,0.19216,0.9998,0.001
